Date,Close/Last,Volume,Open,High,Low
07/08/2025,$139.71,59834820,$138.775,$139.855,$135.79
07/07/2025,$139.12,71959710,$134.38,$139.29,$132.32
07/03/2025,$134.36,41812480,$134.36,$135.62,$132.51
07/02/2025,$132.12,59731970,$131.47,$133.60,$130.1901
07/01/2025,$130.68,91479690,$135.27,$136.32,$128.51
06/30/2025,$136.32,97305600,$137.79,$138.8752,$134.80
06/27/2025,$130.74,202598600,$144.87,$144.97,$130.54
06/26/2025,$144.25,69440540,$144.85,$148.215,$142.91
06/25/2025,$142.90,61435270,$144.49,$147.67,$141.53
06/24/2025,$143.23,58574190,$140.98,$143.66,$137.80
06/23/2025,$139.92,70501100,$138.90,$142.15,$135.96
06/20/2025,$137.30,87067040,$140.69,$142.24,$136.7418
06/18/2025,$139.96,58260230,$139.04,$140.36,$137.4901
06/17/2025,$138.20,70479100,$141.485,$141.69,$136.08
06/16/2025,$141.41,80779770,$140.03,$144.86,$139.8115
06/13/2025,$137.40,93519040,$133.815,$139.99,$133.35
06/12/2025,$135.19,56248180,$136.40,$137.0999,$134.63
06/11/2025,$136.39,97366020,$133.92,$140.00,$132.99
